fhfb_id,district,member_name,city,state,zip,mem_type,char_type,cert,fed_id,ots_id,ncua_id,appr_date
"00007","Atlanta","Piedmont FS and LA","Winston Salem","NC","27101","Savings and Loan","Federal","27619","","00007","",""
"00016","Dallas","State-Investors Bank","Metairie","LA","70005","Savings and Loan","Federal","27626","","00016","",""
"00041","Cincinnati","First Federal Bank of Ohio","Galion","OH","44833","Savings and Loan","Federal","27643","","00041","",""
"00057","Dallas","Home Federal Bank","Shreveport","LA","71101","Savings and Loan","Federal","27654","","00057","",""
"00073","Chicago","Sterling Federal Bank, F.S.B.","Sterling","IL","61081","Savings and Loan","Federal","27664","","00073","",""
"00100","Dallas","First Federal Community Bank, SSB","Paris","TX","75460","Savings Bank","State","27678","0898579","","",""
"00108","Chicago","North Shore Trust and Savings","Waukegan","IL","60085","Savings Bank","Federal","27683","","00108","",""
"00110","Chicago","Flora Savings Bank","Flora","IL","62839","Savings Bank","State","27685","0776275","","",""
"00111","Pittsburgh","Slovenian S and LA of Canonsburg","Strabane","PA","15363","Savings and Loan","State","27686","","00111","",""
"00133","Dallas","Fifth District Savings Bank","New Orleans","LA","70114","Savings Bank","Federal","27697","","00133","",""
"00143","Atlanta","Wake Forest FS and LA","Wake Forest","NC","27587","Savings and Loan","Federal","27704","","00143","",""
"00148","Pittsburgh","ESB Bank","Ellwood City","PA","16117","Savings Bank","State","27708","0224178","","",""
"00153","Pittsburgh","Altoona First Savings Bank","Altoona","PA","16603","Savings Bank","State","27711","0777870","","",""
"00165","Dallas","Mutual Savings and Loan Association","Metairie","LA","70006","Savings and Loan","State","27716","","00165","",""
"00175","Chicago","Security Bank, s.b.","Springfield","IL","62701","Savings Bank","State","27723","0218878","","",""
"00179","Topeka","Lyons Federal Bank","Lyons","KS","67554","Savings and Loan","Federal","27727","","00179","",""
"00207","Indianapolis","MUTUAL SAVINGS BANK","Franklin","IN","46131","Savings Bank","State","27742","0841472","","",""
"00210","Indianapolis","MutualBank","Muncie","IN","47305","Commercial Bank","State","27744","0810777","","",""
"00221","Dallas","Union S and LA","New Orleans","LA","70130","Savings and Loan","State","27752","","00221","",""
"00230","Pittsburgh","Standard Bank, PASB","Murrysville","PA","15668","Savings Bank","State","27757","0811279","","",""
"00234","Pittsburgh","West View Savings Bank, PASA","Pittsburgh","PA","15237","Savings Bank","State","27760","0842376","","",""
"00239","Pittsburgh","Indiana First Savings Bank","Indiana","PA","15701","Savings Bank","State","27763","0904171","","",""
"00244","Chicago","Union Federal Savings and Loan Association","Kewanee","IL","61443","Savings and Loan","Federal","27767","","00244","",""
"00257","Des Moines","Gate City Bank","Fargo","ND","58102","Savings Bank","Federal","27774","","00257","",""
"00299","Pittsburgh","William Penn Bank","Levittown","PA","19057","Savings Bank","State","27799","0664176","","",""
"00311","Cincinnati","Fairfield FS and LA","Lancaster","OH","43130","Savings and Loan","Federal","27806","","00311","",""
